player_name,date,volume,tone,player_id
Adam Walton,2018-08-19,1,-0.1,200443
Adam Walton,2018-08-22,1,0.3,200443
Adam Walton,2018-08-24,1,0.0,200443
Adam Walton,2018-08-26,2,0.0,200443
Adam Walton,2018-08-27,1,0.0,200443
Adam Walton,2018-08-30,1,-0.1,200443
Adam Walton,2018-09-02,2,0.4,200443
Adam Walton,2018-09-07,1,0.0,200443
Adam Walton,2018-09-09,1,0.0,200443
Adam Walton,2018-09-15,7,0.0,200443
Adam Walton,2018-09-16,1,0.0,200443
Adam Walton,2018-10-24,1,-0.1,200443
Adam Walton,2018-11-01,1,0.2,200443
Adam Walton,2018-11-30,1,0.0,200443
Adam Walton,2018-12-10,3,0.4,200443
Adam Walton,2018-12-11,1,0.4,200443
Adam Walton,2019-01-16,2,0.0,200443
Adam Walton,2019-01-17,1,0.0,200443
Adam Walton,2019-01-18,3,0.0,200443
Adam Walton,2019-02-10,2,0.0,200443
Adam Walton,2019-03-28,1,0.2,200443
Adam Walton,2019-04-20,2,0.4,200443
Adam Walton,2019-04-21,1,0.1,200443
Adam Walton,2019-04-30,1,0.1,200443
Adam Walton,2019-05-17,1,0.2,200443
Adam Walton,2019-06-05,1,-0.1,200443
Adam Walton,2019-06-07,3,0.3,200443
Adam Walton,2019-06-29,2,0.0,200443
Adam Walton,2019-07-03,1,0.1,200443
Adam Walton,2019-07-13,1,0.3,200443
Adam Walton,2019-07-14,1,0.0,200443
Adam Walton,2019-10-19,1,0.0,200443
Adam Walton,2019-10-20,1,0.0,200443
Adam Walton,2019-10-23,1,0.1,200443
Adam Walton,2019-12-09,1,0.3,200443
Adam Walton,2020-01-25,1,0.0,200443
Adam Walton,2020-01-26,1,0.0,200443
Adam Walton,2020-02-22,1,-0.1,200443
Adam Walton,2020-04-09,1,0.2,200443
Adam Walton,2020-04-15,2,0.4,200443
Adam Walton,2020-04-17,1,0.3,200443
Adam Walton,2020-05-11,1,0.0,200443
Adam Walton,2020-05-15,1,0.0,200443
Adam Walton,2020-05-28,1,-0.1,200443
Adam Walton,2020-06-04,1,-0.7,200443
Adam Walton,2020-06-28,1,0.0,200443
Adam Walton,2020-07-13,1,-0.4,200443
Adam Walton,2020-07-14,1,0.1,200443
Adam Walton,2020-07-17,1,0.2,200443
Adam Walton,2020-08-22,2,0.2,200443
Adam Walton,2020-09-15,1,0.4,200443
Adam Walton,2020-09-20,1,-0.1,200443
Adam Walton,2020-10-23,1,0.2,200443
Adam Walton,2020-11-01,1,0.0,200443
Adam Walton,2020-12-10,1,0.2,200443
Adam Walton,2021-01-05,1,0.0,200443
Adam Walton,2021-01-16,2,0.1,200443
Adam Walton,2021-03-08,1,0.1,200443
Adam Walton,2021-05-06,1,0.0,200443
Adam Walton,2021-05-09,1,0.1,200443
Adam Walton,2021-05-26,1,0.0,200443
Adam Walton,2021-05-28,1,0.0,200443
Adam Walton,2021-06-08,1,0.1,200443
Adam Walton,2021-07-08,1,0.4,200443
Adam Walton,2021-07-09,3,0.4,200443
Adam Walton,2021-07-11,1,0.4,200443
Adam Walton,2021-07-12,1,0.4,200443
Adam Walton,2021-07-14,1,0.2,200443
Adam Walton,2021-07-16,1,0.0,200443
Adam Walton,2021-09-12,1,0.0,200443
Adam Walton,2021-09-14,1,-0.3,200443
Adam Walton,2021-11-03,3,-0.1,200443
Adam Walton,2021-11-04,3,-0.13333333333333336,200443
Adam Walton,2021-11-11,3,0.0,200443
Adam Walton,2021-11-13,1,0.4,200443
Adam Walton,2021-12-06,1,0.0,200443
Adam Walton,2021-12-08,1,-0.3,200443
Adam Walton,2022-01-01,1,0.3,200443
Adam Walton,2022-01-11,1,0.0,200443
Adam Walton,2022-01-17,2,0.2,200443
Adam Walton,2022-01-19,1,0.0,200443
Adam Walton,2022-01-20,1,0.1,200443
Adam Walton,2022-01-26,1,0.1,200443
Adam Walton,2022-01-31,1,0.3,200443
Adam Walton,2022-02-01,1,0.1,200443
Adam Walton,2022-02-03,1,0.1,200443
Adam Walton,2022-02-07,1,0.1,200443
Adam Walton,2022-02-09,1,0.2,200443
Adam Walton,2022-02-10,1,0.2,200443
Adam Walton,2022-02-14,2,0.25,200443
Adam Walton,2022-02-17,2,0.25,200443
Adam Walton,2022-02-20,1,0.3,200443
Adam Walton,2022-02-21,2,0.30000000000000004,200443
Adam Walton,2022-02-22,1,0.1,200443
Adam Walton,2022-02-24,1,0.0,200443
Adam Walton,2022-02-25,1,0.4,200443
Adam Walton,2022-03-01,1,0.0,200443
Adam Walton,2022-03-07,2,0.0,200443
Adam Walton,2022-03-08,3,0.03333333333333334,200443
Adam Walton,2022-03-10,2,0.2,200443
Adam Walton,2022-03-11,2,0.15000000000000002,200443
Adam Walton,2022-03-14,1,0.1,200443
Adam Walton,2022-03-15,2,0.0,200443
Adam Walton,2022-03-17,1,0.2,200443
Adam Walton,2022-03-21,2,0.1,200443
Adam Walton,2022-03-22,1,0.2,200443
Adam Walton,2022-03-24,2,0.15,200443
Adam Walton,2022-03-25,1,0.1,200443
Adam Walton,2022-03-28,1,0.3,200443
Adam Walton,2022-03-30,1,0.0,200443
Adam Walton,2022-04-04,1,0.3,200443
Adam Walton,2022-04-05,3,0.1,200443
Adam Walton,2022-04-06,1,0.1,200443
Adam Walton,2022-04-07,1,0.1,200443
Adam Walton,2022-04-10,1,0.3,200443
Adam Walton,2022-04-11,1,0.0,200443
Adam Walton,2022-04-14,2,0.1,200443
Adam Walton,2022-04-15,1,0.1,200443
Adam Walton,2022-04-18,2,0.0,200443
Adam Walton,2022-04-19,1,0.2,200443
